10-MAY-06
"Adverse Events Category","AE/Supra-ordinate Term","Select AE","MedDRA LLT (v90)/ CTEP Term","MedDRA Code(v90)/ CTEP Code"
"INFECTION","Infection with unknown ANC","Eye NOS","Eye infection","10015929"
"INFECTION","Infection with unknown ANC","Fallopian tube","Salpingitis infection","10039461"
"INFECTION","Infection with unknown ANC","Foreign body (e.g., graft, implant, prosthesis, stent)","Device related infection","10064687"
"INFECTION","Infection with unknown ANC","Gallbladder (cholecystitis)","Gallbladder infection","10062632"
"INFECTION","Infection with unknown ANC","Heart (endocarditis)","Endocarditis infective","10014678"
"INFECTION","Infection with unknown ANC","Ileum","Ileal infection","10065753"
"INFECTION","Infection with unknown ANC","Jejunum","Jejunal infection","10065754"
"INFECTION","Infection with unknown ANC","Joint","Joint infection","10023216"
"INFECTION","Infection with unknown ANC","Kidney","Kidney infection","10023424"
"INFECTION","Infection with unknown ANC","Larynx","Laryngitis","10023874"
"INFECTION","Infection with unknown ANC","Lens","Eye infection intraocular","10054762"
"INFECTION","Infection with unknown ANC","Lip/perioral","Lip infection","10065755"
"INFECTION","Infection with unknown ANC","Liver","Hepatic infection","10056522"
"INFECTION","Infection with unknown ANC","Lung (pneumonia)","Pneumonia","10035664"
"INFECTION","Infection with unknown ANC","Lymphatic","Lymph gland infection","10050823"
"INFECTION","Infection with unknown ANC","Mediastinum NOS","Mediastinal infection","10057483"
"INFECTION","Infection with unknown ANC","Meninges (meningitis)","Infectious meningitis","10053638"
"INFECTION","Infection with unknown ANC","Middle ear (otitis media)","Otitis media","10033078"
"INFECTION","Infection with unknown ANC","Mucosa","Mucosal infection","10065764"
"INFECTION","Infection with unknown ANC","Muscle (infection myositis)","Infective myositis","10021918"
"INFECTION","Infection with unknown ANC","Neck NOS","Infection - Neck","90030432"
"INFECTION","Infection with unknown ANC","Nerve-cranial","Cranial nerve infection","10065765"
"INFECTION","Infection with unknown ANC","Nerve-peripheral","Peripheral nerve infection","10065766"
"INFECTION","Infection with unknown ANC","Nose","Rhinitis infective","10059827"
"INFECTION","Infection with unknown ANC","Oral cavity-gums (gingivitis)","Gingival infection","10058802"
"INFECTION","Infection with unknown ANC","Pancreas","Pancreas infection","10051741"
"INFECTION","Infection with unknown ANC","Paranasal","Paranasal sinus infection","10065770"
"INFECTION","Infection with unknown ANC","Pelvis NOS","Pelvic infection","10058674"
"INFECTION","Infection with unknown ANC","Penis","Penile infection","10061912"
"INFECTION","Infection with unknown ANC","Peristomal","Stoma site infection","10064505"
"INFECTION","Infection with unknown ANC","Peritoneal cavity","Peritoneal infection","10057262"
"INFECTION","Infection with unknown ANC","Pharynx","Pharyngitis","10034835"
"INFECTION","Infection with unknown ANC","Pleura (empyema)","Pleural infection","10061351"
"INFECTION","Infection with unknown ANC","Prostate","Prostate infection","10050662"
"INFECTION","Infection with unknown ANC","Rectum","Anorectal infection","10061640"
"INFECTION","Infection with unknown ANC","Salivary gland","Salivary gland infection","10039413"
"INFECTION","Infection with unknown ANC","Scrotum","Scrotal infection","10062156"
"INFECTION","Infection with unknown ANC","Sinus","Sinusitis","10040753"
"INFECTION","Infection with unknown ANC","Skin (cellulitis)","Skin infection","10040872"
"INFECTION","Infection with unknown ANC","Small bowel NOS","Small intestine infection","10065771"
"INFECTION","Infection with unknown ANC","Soft tissue NOS","Soft tissue infection","10062255"
"INFECTION","Infection with unknown ANC","Spinal cord (myelitis)","Spinal cord infection","10049654"
"INFECTION","Infection with unknown ANC","Spleen","Splenic infection","10062112"
"INFECTION","Infection with unknown ANC","Stomach","Gastric infection","10056663"
"INFECTION","Infection with unknown ANC","Trachea","Tracheitis","10044302"
"INFECTION","Infection with unknown ANC","Ungual (nails)","Nail infection","10061304"
"INFECTION","Infection with unknown ANC","Upper aerodigestive NOS","Upper aerodigestive tract infection","10065767"
"INFECTION","Infection with unknown ANC","Upper airway NOS","Upper respiratory infection","10046300"
"INFECTION","Infection with unknown ANC","Ureter","Ureteritis","10051250"
"INFECTION","Infection with unknown ANC","Urethra","Urethral infection","10052298"
"INFECTION","Infection with unknown ANC","Urinary tract NOS","Urinary tract infection","10046571"
"INFECTION","Infection with unknown ANC","Uterus","Uterine infection","10062233"
"INFECTION","Infection with unknown ANC","Vagina","Vaginal infection","10046914"
"INFECTION","Infection with unknown ANC","Vein","Phlebitis infective","10056627"
"INFECTION","Infection with unknown ANC","Vulva","Vulvitis","10047780"
"INFECTION","Infection with unknown ANC","Wound","Wound infection","10048038"
"INFECTION","Opportunistic infection associated with >=Grade 2 Lymphopenia",,"Opportunistic infection","10030901"
"INFECTION","Viral hepatitis",,"Viral hepatitis","10047446"
"LYMPHATICS","Chyle or lymph leakage",,"Lymph leakage","10065773"
"LYMPHATICS","Dermal change lymphedema, phlebolymphedema",,"Lymphedema","10025233"
"LYMPHATICS","Edema:head and neck",,"Localized edema","90030506"
"LYMPHATICS","Edema:limb",,"Edema limbs","10050068"
"LYMPHATICS","Edema:trunk/genital",,"Localized edema","10062466"
"LYMPHATICS","Edema:viscera",,"Visceral edema","10065939"
"LYMPHATICS","Lymphatics - Other (Specify, __)",,"Lymphatic disorder","10052314"
"LYMPHATICS","Lymphedema-related fibrosis",,"Fibrosis","10016642"
"LYMPHATICS","Lymphocele",,"Lymphocele","10048642"
"LYMPHATICS","Phlebolymphatic cording",,"Lymphangitic streak","10065116"
"METABOLIC/LABORATORY","ALT, SGPT (serum glutamic pyruvic transaminase)",,"Alanine aminotransferase increased","10001551"
"METABOLIC/LABORATORY","AST, SGOT(serum glutamic oxaloacetic transaminase)",,"Aspartate aminotransferase increased","10003481"
"METABOLIC/LABORATORY","Acidosis (metabolic or respiratory)",,"Acidosis","10000486"
"METABOLIC/LABORATORY","Albumin, serum-low (hypoalbuminemia)",,"Hypoalbuminemia","10020943"
"METABOLIC/LABORATORY","Alkaline phosphatase",,"Alkaline phosphatase increased","10001675"
"METABOLIC/LABORATORY","Alkalosis (metabolic or respiratory)",,"Alkalosis","10001680"
"METABOLIC/LABORATORY","Amylase",,"Amylase increased","10002016"
"METABOLIC/LABORATORY","Bicarbonate, serum-low",,"Blood bicarbonate decreased","10005359"
"METABOLIC/LABORATORY","Bilirubin (hyperbilirubinemia)",,"Hyperbilirubinemia","10020582"
"METABOLIC/LABORATORY","CPK (creatine phosphokinase)",,"Creatine phosphokinase increased","10011349"
"METABOLIC/LABORATORY","Calcium, serum-high (hypercalcemia)",,"Hypercalcemia","10020587"
"METABOLIC/LABORATORY","Calcium, serum-low (hypocalcemia)",,"Hypocalcemia","10020949"
"METABOLIC/LABORATORY","Cholesterol, serum-high (hypercholesteremia)",,"Hypercholesterolemia","10020604"
"METABOLIC/LABORATORY","Creatinine",,"Creatinine increased","10011368"
"METABOLIC/LABORATORY","GGT (gamma-Glutamyl transpeptidase)",,"Gamma-glutamyltransferase increased","10017693"
"METABOLIC/LABORATORY","Glomerular filtration rate",,"Glomerular filtration rate decreased","10018358"
"METABOLIC/LABORATORY","Glucose, serum-high (hyperglycemia)",,"Hyperglycemia","10020639"
"METABOLIC/LABORATORY","Glucose, serum-low (hypoglycemia)",,"Hypoglycemia","10021005"
"METABOLIC/LABORATORY","Hemoglobinuria",,"Hemoglobinuria","10019489"
"METABOLIC/LABORATORY","Lipase",,"Lipase increased","10024574"
"METABOLIC/LABORATORY","Magnesium, serum-high (hypermagnesemia)",,"Hypermagnesemia","10020670"
"METABOLIC/LABORATORY","Magnesium, serum-low (hypomagnesemia)",,"Hypomagnesemia","10021028"
"METABOLIC/LABORATORY","Metabolic/Laboratory - Other (Specify, __)",,"Laboratory test abnormal","10023547"
"METABOLIC/LABORATORY","Phosphate, serum-low (hypophosphatemia)",,"Hypophosphatemia","10021059"
"METABOLIC/LABORATORY","Potassium, serum-high (hyperkalemia)",,"Hyperkalemia","10020647"
"METABOLIC/LABORATORY","Potassium, serum-low (hypokalemia)",,"Hypokalemia","10021018"
"METABOLIC/LABORATORY","Proteinuria",,"Proteinuria","10037032"
"METABOLIC/LABORATORY","Sodium, serum-high (hypernatremia)",,"Hypernatremia","10020680"
"METABOLIC/LABORATORY","Sodium, serum-low (hyponatremia)",,"Hyponatremia","10021038"
"METABOLIC/LABORATORY","Triglyceride, serum-high (hypertriglyceridemia)",,"Hypertriglyceridemia","10020870"
"METABOLIC/LABORATORY","Uric acid, serum-high (hyperuricemia)",,"Hyperuricemia","10020907"
"MUSCULOSKELETAL/SOFT TISSUE","Arthritis (non-septic)",,"Arthritis","10003246"
"MUSCULOSKELETAL/SOFT TISSUE","Bone: spine-scoliosis",,"Scoliosis","10039722"
"MUSCULOSKELETAL/SOFT TISSUE","Cervical spine-range of motion",,"Joint range of motion decreased cervical spine","10065796"
"MUSCULOSKELETAL/SOFT TISSUE","Exostosis",,"Exostosis","10015688"
"MUSCULOSKELETAL/SOFT TISSUE","Extremity-lower (gait/walking)",,"Gait abnormal","10017573"
"MUSCULOSKELETAL/SOFT TISSUE","Extremity-upper (function)",,"Upper extremity dysfunction","10065797"
"MUSCULOSKELETAL/SOFT TISSUE","Fibrosis-cosmesis",,"Superficial soft tissue fibrosis","10065798"
"MUSCULOSKELETAL/SOFT TISSUE","Fibrosis-deep connective tissue",,"Fibrosis deep connective tissue","10065799"
"MUSCULOSKELETAL/SOFT TISSUE","Fracture",,"Fracture","10017076"
"MUSCULOSKELETAL/SOFT TISSUE","Joint-effusion",,"Joint effusion","10023215"
"MUSCULOSKELETAL/SOFT TISSUE","Joint-function",,"Joint disorder","10023211"
"MUSCULOSKELETAL/SOFT TISSUE","Local complication -device/prosthesis-related",,"Device complication","10056488"
"MUSCULOSKELETAL/SOFT TISSUE","Lumbar spine-range of motion",,"Joint range of motion decreased lumbar spine","10065800"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Extraocular","Extraocular muscle disorder","10053635"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Extremity-lower","Muscle weakness lower limb","10065776"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Extremity-upper","Muscle weakness upper limb","10065895"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Facial","Facial muscle weakness","10051272"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Left-sided","Muscle weakness left-sided","10065780"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Ocular","Eye muscle weakness","10059456"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Pelvic","Pelvic floor muscle weakness","10064026"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Right-sided","Muscle weakness right-sided","10065794"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Trunk","Muscle weakness trunk","10065795"
"MUSCULOSKELETAL/SOFT TISSUE","Muscle weakness, generalized or specific area (not due to neuropathy)","Whole body/generalized","Muscle weakness","10028350"
"MUSCULOSKELETAL/SOFT TISSUE","Muscular/skeletal hypoplasia",,"Musculoskeletal deformity","10065783"
"MUSCULOSKELETAL/SOFT TISSUE","Musculoskeletal/Soft Tissue - Other (Specify, __)",,"Musculoskeletal disorder","10048592"
"MUSCULOSKELETAL/SOFT TISSUE","Myositis (inflammation/damage of muscle)",,"Myositis","10028653"
"MUSCULOSKELETAL/SOFT TISSUE","Osteonecrosis (avascular necrosis)",,"Osteonecrosis","10031264"
"MUSCULOSKELETAL/SOFT TISSUE","Osteoporosis",,"Osteoporosis","10031282"
"MUSCULOSKELETAL/SOFT TISSUE","Seroma",,"Seroma","10040102"
"MUSCULOSKELETAL/SOFT TISSUE","Soft tissue necrosis","Abdomen","Abdominal soft tissue necrosis","10065775"
"MUSCULOSKELETAL/SOFT TISSUE","Soft tissue necrosis","Extremity-lower","Soft tissue necrosis lower limb","10065777"
"MUSCULOSKELETAL/SOFT TISSUE","Soft tissue necrosis","Extremity-upper","Soft tissue necrosis upper limb","10065778"
"MUSCULOSKELETAL/SOFT TISSUE","Soft tissue necrosis","Head","Head soft tissue necrosis","10065779"
"MUSCULOSKELETAL/SOFT TISSUE","Soft tissue necrosis","Neck","Neck soft tissue necrosis","10065781"
"MUSCULOSKELETAL/SOFT TISSUE","Soft tissue necrosis","Pelvic","Pelvic soft tissue necrosis","10065793"
"MUSCULOSKELETAL/SOFT TISSUE","Soft tissue necrosis","Thorax","Chest wall necrosis","10048831"
"MUSCULOSKELETAL/SOFT TISSUE","Trismus (difficulty, restriction or pain when opening mouth)",,"Trismus","10044684"
"NEUROLOGY","Apnea",,"Apnea","10002972"
"NEUROLOGY","Arachnoiditis/meningismus/radiculitis",,"Arachnoiditis","10003074"
"NEUROLOGY","Ataxia (incoordination)",,"Ataxia","10003591"
"NEUROLOGY","Brachial plexopathy",,"Radiculitis brachial","10037778"
"NEUROLOGY","CNS cerebrovascular ischemia",,"Ischemia cerebrovascular","10023030"
"NEUROLOGY","CNS necrosis/cystic progression",,"Central nervous system necrosis","10065784"
"NEUROLOGY","Cognitive disturbance",,"Cognitive disturbance","10009845"
"NEUROLOGY","Confusion",,"Confusion","10010300"
"NEUROLOGY","Dizziness",,"Dizziness","10013573"
"NEUROLOGY","Encephalopathy",,"Encephalopathy","10014625"
"NEUROLOGY","Extrapyramidal/involuntary movement/restlessness",,"Extrapyramidal disorder","10015832"
"NEUROLOGY","Hydrocephalus",,"Hydrocephalus","10020508"
"NEUROLOGY","Irritability (children <3 years of age)",,"Irritability","10022998"
"NEUROLOGY","Laryngeal nerve dysfunction",,"Recurrent laryngeal nerve palsy","10038130"
"NEUROLOGY","Leak, cerebrospinal fluid (CSF)",,"Cerebrospinal fluid leakage","10008164"
"NEUROLOGY","Leukoencephalopathy (radiographic findings)",,"Leukoencephalopathy","10024382"
"NEUROLOGY","Memory impairment",,"Memory impairment","10027175"
"NEUROLOGY","Mental status",,"Mental status changes","10048294"
"NEUROLOGY","Mood alteration","Agitation","Agitation","10001497"
"NEUROLOGY","Mood alteration","Anxiety","Anxiety","10002855"
"NEUROLOGY","Mood alteration","Depression","Depression","10012378"
"NEUROLOGY","Mood alteration","Euphoria","Euphoria","10015533"
"NEUROLOGY","Myelitis",,"Myelitis","10028524"
"NEUROLOGY","Neurology - Other (Specify, __)",,"Neurological disorder NOS","10029298"
"NEUROLOGY","Neuropathy: cranial","CN I Smell","Olfactory nerve disorder","10056388"
"NEUROLOGY","Neuropathy: cranial","CN II Vision","Optic nerve disorder","10061322"
"NEUROLOGY","Neuropathy: cranial","CN III Pupil, upper eyelid, extra ocular movements","Oculomotor nerve disorder","10053661"
"NEUROLOGY","Neuropathy: cranial","CN IV Downward, inward movement of eye","IVth nerve disorder","10065836"
"NEUROLOGY","Neuropathy: cranial","CN IX Motor-pharynx; Sensory-ear, pharynx, tongue","Glossopharyngeal nerve disorder","10061185"
"NEUROLOGY","Neuropathy: cranial","CN V Motor-jaw muscles; Sensory-facial","Trigeminal nerve disorder","10060890"
"NEUROLOGY","Neuropathy: cranial","CN VI Lateral deviation of eye","Abducens nerve disorder","10053662"
"NEUROLOGY","Neuropathy: cranial","CN VII Motor-face; Sensory-taste","Facial nerve disorder","10061457"
"NEUROLOGY","Neuropathy: cranial","CN VIII Hearing and balance","Acoustic nerve disorder NOS","10000521"
"NEUROLOGY","Neuropathy: cranial","CN X Motor-palate; pharynx, larynx","Vagus nerve disorder","10061403"
"NEUROLOGY","Neuropathy: cranial","CN XI Motor-sternomastoid and trapezius","Accessory nerve disorder","10060929"
"NEUROLOGY","Neuropathy: cranial","CN XII Motor-tongue","Hypoglossal nerve disorder","10061212"
"NEUROLOGY","Neuropathy: motor",,"Peripheral motor neuropathy","10034580"
"NEUROLOGY","Neuropathy: sensory",,"Peripheral sensory neuropathy","10034620"
"NEUROLOGY","Personality/behavioral",,"Personality change","10034719"
"NEUROLOGY","Phrenic nerve dysfunction",,"Phrenic nerve paralysis","10064964"
"NEUROLOGY","Psychosis (hallucinations/delusions)",,"Psychosis","10037234"
"NEUROLOGY","Pyramidal tract dysfunction (e.g., increased tone, hyperreflexia, positive Babinski, decreased fine motor coordination)",,"Pyramidal tract syndrome","10063636"
"NEUROLOGY","Seizure",,"Seizure","10039906"
"NEUROLOGY","Somnolence/depressed level of consciousness",,"Depressed level of consciousness","10012373"
"NEUROLOGY","Speech impairment (e.g., dysphasia or aphasia)",,"Speech disorder","10041466"
"NEUROLOGY","Syncope (fainting)",,"Syncope","10042772"
"NEUROLOGY","Tremor",,"Tremor","10044565"
"OCULAR/VISUAL","Cataract",,"Cataract","10007739"
"OCULAR/VISUAL","Dry eye syndrome",,"Dry eye syndrome","10013777"
"OCULAR/VISUAL","Eyelid dysfunction",,"Eyelid function disorder","10061145"
"OCULAR/VISUAL","Glaucoma",,"Glaucoma","10018304"
"OCULAR/VISUAL","Keratitis (corneal inflammation/corneal ulceration)",,"Keratitis","10023332"
"OCULAR/VISUAL","Night blindness (nyctalopia)",,"Night blindness","10029404"
"OCULAR/VISUAL","Nystagmus",,"Nystagmus","10029864"
"OCULAR/VISUAL","Ocular surface disease",,"Conjunctival disorder","10061446"
"OCULAR/VISUAL","Ocular/Visual - Other (Specify, __)",,"Eye disorder","10015916"
"OCULAR/VISUAL","Ophthalmoplegia/diplopia (double vision)",,"Diplopia","10013036"
"OCULAR/VISUAL","Optic disc edema",,"Optic nerve edema","10030934"
"OCULAR/VISUAL","Proptosis/enophthalmos",,"Proptosis","10036905"
"OCULAR/VISUAL","Retinal detachment",,"Retinal detachment","10038848"
"OCULAR/VISUAL","Retinopathy",,"Retinopathy","10038923"
"OCULAR/VISUAL","Scleral necrosis/melt",,"Scleral disorder","10061510"
"OCULAR/VISUAL","Uveitis",,"Uveitis","10046851"
"OCULAR/VISUAL","Vision-blurred vision",,"Vision blurred","10047513"
"OCULAR/VISUAL","Vision-flashing lights/floaters",,"Flashing vision","10016758"
"OCULAR/VISUAL","Vision-photophobia",,"Photophobia","10034960"
"OCULAR/VISUAL","Vitreous hemorrhage",,"Vitreous hemorrhage","10047656"
"OCULAR/VISUAL","Watery eye (epiphora, tearing)",,"Watering eyes","10047848"
"PAIN","Pain","Abdomen NOS","Abdominal pain","10000081"
"PAIN","Pain","Anus","Anal pain","10002167"
"PAIN","Pain","Back","Back pain","10003988"
"PAIN","Pain","Bladder","Bladder pain","10005063"
"PAIN","Pain","Bone","Bone pain","10006002"
"PAIN","Pain","Breast","Breast pain","10006298"
"PAIN","Pain","Buttock","Buttock pain","10048677"
"PAIN","Pain","Cardiac/heart","Cardiac pain","10054231"
"PAIN","Pain","Chest wall","Chest wall pain","10008496"
"PAIN","Pain","Chest/thorax NOS","Chest pain","10008479"
"PAIN","Pain","Dental/teeth/peridontal","Toothache","10044055"
"PAIN","Pain","Esophagus","Esophageal pain","10015388"
"PAIN","Pain","External ear","External ear pain","10065785"
"PAIN","Pain","Extremity-limb","Pain in extremity","10033425"
"PAIN","Pain","Eye","Eye pain","10015958"
"PAIN","Pain","Face","Facial pain","10016059"
"PAIN","Pain","Gallbladder","Gallbladder pain","10017638"
"PAIN","Pain","Head/headache","Headache","10019211"
"PAIN","Pain","Intestine","Gastrointestinal pain","10017999"
"PAIN","Pain","Joint","Joint pain","10023222"
"PAIN","Pain","Kidney","Kidney pain","10023432"
"PAIN","Pain","Larynx","Laryngeal pain","10023848"
"PAIN","Pain","Lip","Lip pain","10024561"
"PAIN","Pain","Liver","Hepatic pain","10019705"
"PAIN","Pain","Lymph node","Lymph node pain","10025182"
"PAIN","Pain","Middle ear","Ear pain","10014020"
"PAIN","Pain","Muscle","Myalgia","10028411"
"PAIN","Pain","Neck","Neck pain","10028836"
"PAIN","Pain","Neuralgia/peripheral nerve","Neuralgia","10029223"
"PAIN","Pain","Oral cavity","Oral pain","10031009"
"PAIN","Pain","Oral-gums","Gingival pain","10018286"
"PAIN","Pain","Ovulatory","Ovulation pain","10033314"
"PAIN","Pain","Pain NOS","Pain","10033371"
"PAIN","Pain","Pelvis","Pelvic pain","10034263"
"PAIN","Pain","Penis","Penile pain","10034310"
"PAIN","Pain","Pericardium","Pericardial pain","90030568"
"PAIN","Pain","Perineum","Perineal pain","10061339"
"PAIN","Pain","Peritoneum","Peritoneal pain","10065801"
"PAIN","Pain","Phantom (pain associated with missing limb)","Phantom pain","10056238"
"PAIN","Pain","Pleura","Pleuritic pain","10035623"
"PAIN","Pain","Prostate","Prostatic pain","10036968"
"PAIN","Pain","Rectum","Rectal pain","10038072"
"PAIN","Pain","Scalp","Scalp pain","10049120"
"PAIN","Pain","Scrotum","Scrotal pain","10039757"
"PAIN","Pain","Sinus","Sinus pain","10040747"
"PAIN","Pain","Skin","Pain of skin","10033474"
"PAIN","Pain","Stomach","Stomach pain","10042112"
"PAIN","Pain","Testicle","Testicular pain","10043345"
"PAIN","Pain","Throat/pharynx/larynx","Pharyngolaryngeal pain","10034844"
"PAIN","Pain","Tumor pain","Tumor pain","10045158"
"PAIN","Pain","Urethra","Urethral pain","10046461"
"PAIN","Pain","Uterus","Uterine pain","10046809"
"PAIN","Pain","Vagina","Vaginal pain","10046937"
"PAIN","Pain - Other (Specify, __)",,"Pain","90004082"
"PULMONARY/UPPER RESPIRATORY","Adult Respiratory Distress Syndrome (ARDS)",,"Adult respiratory distress syndrome","10001409"
"PULMONARY/UPPER RESPIRATORY","Aspiration",,"Aspiration","10003504"
"PULMONARY/UPPER RESPIRATORY","Atelectasis",,"Atelectasis","10003598"
"PULMONARY/UPPER RESPIRATORY","Bronchospasm, wheezing",,"Bronchospasm","10006482"
"PULMONARY/UPPER RESPIRATORY","Carbon monoxide diffusion capacity (DL(co))",,"Carbon monoxide diffusing capacity decreased","10065906"
"PULMONARY/UPPER RESPIRATORY","Chylothorax",,"Chylothorax","10051228"
"PULMONARY/UPPER RESPIRATORY","Cough",,"Cough","10011224"
"PULMONARY/UPPER RESPIRATORY","Dyspnea (shortness of breath)",,"Dyspnea","10013963"
"PULMONARY/UPPER RESPIRATORY","Edema, larynx",,"Laryngeal edema","10023838"
"PULMONARY/UPPER RESPIRATORY","FEV(1)",,"Forced expiratory volume decreased","10016987"
"PULMONARY/UPPER RESPIRATORY","Fistula, pulmonary/upper respiratory","Bronchus","Bronchial fistula","10006437"
"PULMONARY/UPPER RESPIRATORY","Fistula, pulmonary/upper respiratory","Larynx","Laryngeal fistula","10065786"
"PULMONARY/UPPER RESPIRATORY","Fistula, pulmonary/upper respiratory","Lung","Pulmonary fistula","10065873"
"PULMONARY/UPPER RESPIRATORY","Fistula, pulmonary/upper respiratory","Oral cavity","Oral cavity fistula","90030578"
"PULMONARY/UPPER RESPIRATORY","Fistula, pulmonary/upper respiratory","Pharynx","Pharyngeal fistula","10034825"
"PULMONARY/UPPER RESPIRATORY","Fistula, pulmonary/upper respiratory","Pleura","Pleural fistula","10065839"
"PULMONARY/UPPER RESPIRATORY","Fistula, pulmonary/upper respiratory","Trachea","Tracheal fistula","10065787"
"PULMONARY/UPPER RESPIRATORY","Hiccoughs (hiccups, singultus)",,"Hiccough","10020037"
"PULMONARY/UPPER RESPIRATORY","Hypoxia",,"Hypoxia","10021143"
"PULMONARY/UPPER RESPIRATORY","Nasal cavity/paranasal sinus reactions",,"Nasal congestion","10028735"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Bronchus","Bronchial obstruction","10006440"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Larynx","Laryngeal obstruction","10059639"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Pharynx","Pharyngeal stenosis","10050028"
"PULMONARY/UPPER RESPIRATORY","Obstruction/stenosis of airway","Trachea","Tracheal obstruction","10044291"
"PULMONARY/UPPER RESPIRATORY","Pleural effusion (non-malignant)",,"Pleural effusion","10035598"
"PULMONARY/UPPER RESPIRATORY","Pneumonitis/pulmonary infiltrates",,"Pneumonitis","10035742"
"PULMONARY/UPPER RESPIRATORY","Pneumothorax",,"Pneumothorax","10035759"
"PULMONARY/UPPER RESPIRATORY","Prolonged chest tube drainage or air leak after pulmonary resection",,"Postoperative thoracic procedure complication","10056745"
"PULMONARY/UPPER RESPIRATORY","Prolonged intubation after pulmonary resection (>24 hrs after surgery)",,"Prolonged intubation after pulmonary resection (>24 hrs after surgery)","90030588"
"PULMONARY/UPPER RESPIRATORY","Pulmonary fibrosis (radiographic changes)",,"Pulmonary fibrosis","10037383"
"PULMONARY/UPPER RESPIRATORY","Pulmonary/Upper Respiratory - Other (Specify, __)",,"Respiratory disorder","10038683"
"PULMONARY/UPPER RESPIRATORY","Vital capacity",,"Vital capacity decreased","10047582"
"PULMONARY/UPPER RESPIRATORY","Voice changes/dysarthria (e.g., hoarseness, loss or alteration in voice, laryngitis)",,"Voice alteration","10047681"
"RENAL/GENITOURINARY","Bladder spasms",,"Bladder spasm","10048994"
"RENAL/GENITOURINARY","Cystitis",,"Cystitis","10011781"
"RENAL/GENITOURINARY","Fistula, GU","Bladder","Vesical fistula","10047363"
"RENAL/GENITOURINARY","Fistula, GU","Genital tract-female","Female genital tract fistula","10061149"
"RENAL/GENITOURINARY","Fistula, GU","Kidney","Renal pelvis fistula","10051985"
"RENAL/GENITOURINARY","Fistula, GU","Ureter","Ureteric fistula","10046404"
"RENAL/GENITOURINARY","Fistula, GU","Urethra","Urethral fistula","10046451"
"RENAL/GENITOURINARY","Fistula, GU","Uterus","Uterine fistula","10065811"
"RENAL/GENITOURINARY","Fistula, GU","Vagina","Vaginal fistula","10065813"
"RENAL/GENITOURINARY","Incontinence, urinary",,"Urinary incontinence","10046543"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Bladder","Bladder anastomotic leak","10065802"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Fallopian tube","Fallopian tube anastomotic leak","10065788"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Kidney","Kidney anastomotic leak","10065803"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Spermatic cord","Spermatic cord anastomotic leak","10065897"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Stoma","Urostomy leak","10065882"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Ureter","Ureteric anastomotic leak","10065814"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Urethra","Urethral anastomotic leak","10065815"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Uterus","Uterine anastomotic leak","10065886"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vagina","Vaginal anastomotic leak","10065887"
"RENAL/GENITOURINARY","Leak (including anastomotic), GU","Vas deferens","Vas deferens anastomotic leak","10065888"
"RENAL/GENITOURINARY","Obstruction, GU","Bladder","Bladder obstruction","10005060"
"RENAL/GENITOURINARY","Obstruction, GU","Fallopian tube","Fallopian tube obstruction","10065789"
"RENAL/GENITOURINARY","Obstruction, GU","Prostate","Prostatic obstruction","10055026"
"RENAL/GENITOURINARY","Obstruction, GU","Spermatic cord","Spermatic cord obstruction","10065805"
"RENAL/GENITOURINARY","Obstruction, GU","Stoma","Urostomy obstruction","10065883"
"RENAL/GENITOURINARY","Obstruction, GU","Testes","Testicular obstruction","90030620"
"RENAL/GENITOURINARY","Obstruction, GU","Ureter","Ureteric obstruction","10046406"
"RENAL/GENITOURINARY","Obstruction, GU","Urethra","Urethral obstruction","10046459"
"RENAL/GENITOURINARY","Obstruction, GU","Uterus","Uterine obstruction","10065928"
"RENAL/GENITOURINARY","Obstruction, GU","Vagina","Vaginal obstruction","10065817"
