"Adverse Events Category","AE/Supra-ordinate Term","Select AE","Grade","Description"
"INFECTION","Infection with unknown ANC","Mucosa",5,"Death"
"INFECTION","Infection with unknown ANC","Muscle (infection myositis)",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Muscle (infection myositis)",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Muscle (infection myositis)",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Muscle (infection myositis)",5,"Death"
"INFECTION","Infection with unknown ANC","Neck NOS",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Neck NOS",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Neck NOS",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Neck NOS",5,"Death"
"INFECTION","Infection with unknown ANC","Nerve-cranial",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Nerve-cranial",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Nerve-cranial",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Nerve-cranial",5,"Death"
"INFECTION","Infection with unknown ANC","Nerve-peripheral",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Nerve-peripheral",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Nerve-peripheral",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Nerve-peripheral",5,"Death"
"INFECTION","Infection with unknown ANC","Nose",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Nose",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Nose",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Nose",5,"Death"
"INFECTION","Infection with unknown ANC","Oral cavity-gums (gingivitis)",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Oral cavity-gums (gingivitis)",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Oral cavity-gums (gingivitis)",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Oral cavity-gums (gingivitis)",5,"Death"
"INFECTION","Infection with unknown ANC","Pancreas",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Pancreas",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Pancreas",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Pancreas",5,"Death"
"INFECTION","Infection with unknown ANC","Paranasal",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Paranasal",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Paranasal",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Paranasal",5,"Death"
"INFECTION","Infection with unknown ANC","Pelvis NOS",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Pelvis NOS",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Pelvis NOS",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Pelvis NOS",5,"Death"
"INFECTION","Infection with unknown ANC","Penis",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Penis",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Penis",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Penis",5,"Death"
"INFECTION","Infection with unknown ANC","Peristomal",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Peristomal",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Peristomal",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Peristomal",5,"Death"
"INFECTION","Infection with unknown ANC","Peritoneal cavity",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Peritoneal cavity",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Peritoneal cavity",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Peritoneal cavity",5,"Death"
"INFECTION","Infection with unknown ANC","Pharynx",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Pharynx",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Pharynx",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Pharynx",5,"Death"
"INFECTION","Infection with unknown ANC","Pleura (empyema)",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Pleura (empyema)",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Pleura (empyema)",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Pleura (empyema)",5,"Death"
"INFECTION","Infection with unknown ANC","Prostate",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Prostate",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Prostate",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Prostate",5,"Death"
"INFECTION","Infection with unknown ANC","Rectum",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Rectum",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Rectum",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Rectum",5,"Death"
"INFECTION","Infection with unknown ANC","Salivary gland",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Salivary gland",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Salivary gland",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Salivary gland",5,"Death"
"INFECTION","Infection with unknown ANC","Scrotum",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Scrotum",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Scrotum",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Scrotum",5,"Death"
"INFECTION","Infection with unknown ANC","Sinus",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Sinus",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Sinus",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Sinus",5,"Death"
"INFECTION","Infection with unknown ANC","Skin (cellulitis)",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Skin (cellulitis)",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Skin (cellulitis)",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Skin (cellulitis)",5,"Death"
"INFECTION","Infection with unknown ANC","Small bowel NOS",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Small bowel NOS",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Small bowel NOS",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Small bowel NOS",5,"Death"
"INFECTION","Infection with unknown ANC","Soft tissue NOS",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Soft tissue NOS",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Soft tissue NOS",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Soft tissue NOS",5,"Death"
"INFECTION","Infection with unknown ANC","Spinal cord (myelitis)",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Spinal cord (myelitis)",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Spinal cord (myelitis)",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Spinal cord (myelitis)",5,"Death"
"INFECTION","Infection with unknown ANC","Spleen",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Spleen",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Spleen",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Spleen",5,"Death"
"INFECTION","Infection with unknown ANC","Stomach",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Stomach",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Stomach",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Stomach",5,"Death"
"INFECTION","Infection with unknown ANC","Trachea",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Trachea",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Trachea",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Trachea",5,"Death"
"INFECTION","Infection with unknown ANC","Ungual (nails)",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Ungual (nails)",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Ungual (nails)",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Ungual (nails)",5,"Death"
"INFECTION","Infection with unknown ANC","Upper aerodigestive NOS",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Upper aerodigestive NOS",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Upper aerodigestive NOS",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Upper aerodigestive NOS",5,"Death"
"INFECTION","Infection with unknown ANC","Upper airway NOS",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Upper airway NOS",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Upper airway NOS",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Upper airway NOS",5,"Death"
"INFECTION","Infection with unknown ANC","Ureter",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Ureter",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Ureter",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Ureter",5,"Death"
"INFECTION","Infection with unknown ANC","Urethra",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Urethra",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Urethra",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Urethra",5,"Death"
"INFECTION","Infection with unknown ANC","Urinary tract NOS",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Urinary tract NOS",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Urinary tract NOS",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Urinary tract NOS",5,"Death"
"INFECTION","Infection with unknown ANC","Uterus",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Uterus",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Uterus",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Uterus",5,"Death"
"INFECTION","Infection with unknown ANC","Vagina",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Vagina",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Vagina",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Vagina",5,"Death"
"INFECTION","Infection with unknown ANC","Vein",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Vein",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Vein",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Vein",5,"Death"
"INFECTION","Infection with unknown ANC","Vulva",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Vulva",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Vulva",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Vulva",5,"Death"
"INFECTION","Infection with unknown ANC","Wound",2,"Localized, local intervention indicated"
"INFECTION","Infection with unknown ANC","Wound",3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Infection with unknown ANC","Wound",4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Infection with unknown ANC","Wound",5,"Death"
"INFECTION","Opportunistic infection associated with >=Grade 2 Lymphopenia",,2,"Localized, local intervention indicated"
"INFECTION","Opportunistic infection associated with >=Grade 2 Lymphopenia",,3,"IV antibiotic, antifungal, or antiviral intervention indicated; interventional radiology or operative intervention indicated"
"INFECTION","Opportunistic infection associated with >=Grade 2 Lymphopenia",,4,"Life-threatening consequences (e.g., septic shock, hypotension, acidosis, necrosis)"
"INFECTION","Opportunistic infection associated with >=Grade 2 Lymphopenia",,5,"Death"
"INFECTION","Viral hepatitis",,1,"Present; transaminases and liver function normal"
"INFECTION","Viral hepatitis",,2,"Transaminases abnormal, liver function normal"
"INFECTION","Viral hepatitis",,3,"Symptomatic liver dysfunction; fibrosis by biopsy; compensated cirrhosis"
"INFECTION","Viral hepatitis",,4,"Decompensated liver function (e.g., ascites, coagulopathy, encephalopathy, coma)"
"INFECTION","Viral hepatitis",,5,"Death"
"LYMPHATICS","Chyle or lymph leakage",,1,"Asymptomatic, clinical or radiographic findings"
"LYMPHATICS","Chyle or lymph leakage",,2,"Symptomatic, medical intervention indicated"
"LYMPHATICS","Chyle or lymph leakage",,3,"Interventional radiology or operative intervention indicated"
"LYMPHATICS","Chyle or lymph leakage",,4,"Life-threatening complications"
"LYMPHATICS","Chyle or lymph leakage",,5,"Death"
"LYMPHATICS","Dermal change lymphedema, phlebolymphedema",,1,"Trace thickening or faint discoloration"
"LYMPHATICS","Dermal change lymphedema, phlebolymphedema",,2,"Marked discoloration; leathery skin texture; papillary formation"
"LYMPHATICS","Edema:head and neck",,1,"Localized to dependent areas, no disability or functional impairment"
"LYMPHATICS","Edema:head and neck",,2,"Localized facial or neck edema with functional impairment"
"LYMPHATICS","Edema:head and neck",,3,"Generalized facial or neck edema with functional impairment (e.g., difficulty in turning neck or opening mouth compared to baseline)"
"LYMPHATICS","Edema:head and neck",,4,"Severe with ulceration or cerebral edema; tracheotomy or feeding tube indicated"
"LYMPHATICS","Edema:head and neck",,5,"Death"
"LYMPHATICS","Edema:limb",,1,"5 - 10% inter-limb discrepancy in volume or circumference at point of greatest visible difference; swelling or obscuration of anatomic architecture on close inspection; pitting edema"
"LYMPHATICS","Edema:limb",,2,">10 - 30% inter-limb discrepancy in volume or circumference at point of greatest visible difference; readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour"
"LYMPHATICS","Edema:limb",,3,">30% inter-limb discrepancy in volume; lymphorrhea; gross deviation from normal anatomic contour; interfering with ADL"
"LYMPHATICS","Edema:limb",,4,"Progression to malignancy (i.e., lymphangiosarcoma); amputation indicated; disabling"
"LYMPHATICS","Edema:limb",,5,"Death"
"LYMPHATICS","Edema:trunk/genital",,1,"Swelling or obscuration of anatomic architecture on close inspection; pitting edema"
"LYMPHATICS","Edema:trunk/genital",,2,"Readily apparent obscuration of anatomic architecture; obliteration of skin folds; readily apparent deviation from normal anatomic contour"
"LYMPHATICS","Edema:trunk/genital",,3,"Lymphorrhea; interfering with ADL; gross deviation from normal anatomic contour"
"LYMPHATICS","Edema:trunk/genital",,4,"Progression to malignancy (i.e., lymphangiosarcoma); disabling"
"LYMPHATICS","Edema:trunk/genital",,5,"Death"
"LYMPHATICS","Edema:viscera",,1,"Asymptomatic; clinical or radiographic findings only"
"LYMPHATICS","Edema:viscera",,2,"Symptomatic; medical intervention indicated"
"LYMPHATICS","Edema:viscera",,3,"Symptomatic and unable to aliment adequately orally; interventional radiology or operative intervention indicated"
"LYMPHATICS","Edema:viscera",,4,"Life-threatening consequences"
"LYMPHATICS","Edema:viscera",,5,"Death"
"LYMPHATICS","Lymphatics - Other (Specify, __)",,1,"Mild"
"LYMPHATICS","Lymphatics - Other (Specify, __)",,2,"Moderate"
"LYMPHATICS","Lymphatics - Other (Specify, __)",,3,"Severe"
"LYMPHATICS","Lymphatics - Other (Specify, __)",,4,"Life-threatening; disabling"
"LYMPHATICS","Lymphatics - Other (Specify, __)",,5,"Death"
"LYMPHATICS","Lymphedema-related fibrosis",,1,"Minimal to moderate redundant soft tissue, unresponsive to elevation or compression, with moderately firm texture or spongy feel"
"LYMPHATICS","Lymphedema-related fibrosis",,2,"Marked increase in density and firmness, with or without tethering"
"LYMPHATICS","Lymphedema-related fibrosis",,3,"Very marked density and firmness with tethering affecting >=40% of the edematous area"
"LYMPHATICS","Lymphocele",,1,"Asymptomatic, clinical or radiographic findings only"
"LYMPHATICS","Lymphocele",,2,"Symptomatic; medical intervention indicated"
"LYMPHATICS","Lymphocele",,3,"Symptomatic and interventional radiology or operative intervention indicated"
"LYMPHATICS","Phlebolymphatic cording",,1,"Asymptomatic, clinical findings only"
"LYMPHATICS","Phlebolymphatic cording",,2,"Symptomatic; medical intervention indicated"
"LYMPHATICS","Phlebolymphatic cording",,3,"Symptomatic and leading to contracture or reduced range of motion"
"METABOLIC/LABORATORY","ALT, SGPT (serum glutamic pyruvic transaminase)",,1,">ULN - 2.5 x ULN"
"METABOLIC/LABORATORY","ALT, SGPT (serum glutamic pyruvic transaminase)",,2,">2.5 - 5.0 x ULN"
"METABOLIC/LABORATORY","ALT, SGPT (serum glutamic pyruvic transaminase)",,3,">5.0 - 20.0 x ULN"
"METABOLIC/LABORATORY","ALT, SGPT (serum glutamic pyruvic transaminase)",,4,">20.0 x ULN"
"METABOLIC/LABORATORY","AST, SGOT(serum glutamic oxaloacetic transaminase)",,1,">ULN - 2.5 x ULN"
"METABOLIC/LABORATORY","AST, SGOT(serum glutamic oxaloacetic transaminase)",,2,">2.5 - 5.0 x ULN"
"METABOLIC/LABORATORY","AST, SGOT(serum glutamic oxaloacetic transaminase)",,3,">5.0 - 20.0 x ULN"
"METABOLIC/LABORATORY","AST, SGOT(serum glutamic oxaloacetic transaminase)",,4,">20.0 x ULN"
"METABOLIC/LABORATORY","Acidosis (metabolic or respiratory)",,1,"pH <normal, but =>7.3"
"METABOLIC/LABORATORY","Acidosis (metabolic or respiratory)",,3,"pH <7.3"
"METABOLIC/LABORATORY","Acidosis (metabolic or respiratory)",,4,"pH <7.3 with life-threatening consequences"
"METABOLIC/LABORATORY","Acidosis (metabolic or respiratory)",,5,"Death"
"METABOLIC/LABORATORY","Albumin, serum-low (hypoalbuminemia)",,1,"<LLN - 3 g/dL
<LLN - 30 g/L"
"METABOLIC/LABORATORY","Albumin, serum-low (hypoalbuminemia)",,2,"<3 - 2 g/dL
<30 - 20 g/L"
"METABOLIC/LABORATORY","Albumin, serum-low (hypoalbuminemia)",,3,"<2 g/dL
<20 g/L"
"METABOLIC/LABORATORY","Albumin, serum-low (hypoalbuminemia)",,5,"Death"
"METABOLIC/LABORATORY","Alkaline phosphatase",,1,">ULN - 2.5 x ULN"
"METABOLIC/LABORATORY","Alkaline phosphatase",,2,">2.5 - 5.0 x ULN"
"METABOLIC/LABORATORY","Alkaline phosphatase",,3,">5.0 - 20.0 x ULN"
"METABOLIC/LABORATORY","Alkaline phosphatase",,4,">20.0 x ULN"
"METABOLIC/LABORATORY","Alkalosis (metabolic or respiratory)",,1,"pH >normal, but <=7.5"
"METABOLIC/LABORATORY","Alkalosis (metabolic or respiratory)",,3,"pH >7.5"
"METABOLIC/LABORATORY","Alkalosis (metabolic or respiratory)",,4,"pH >7.5 with life-threatening consequences"
"METABOLIC/LABORATORY","Alkalosis (metabolic or respiratory)",,5,"Death"
"METABOLIC/LABORATORY","Amylase",,1,">ULN - 1.5 x ULN"
"METABOLIC/LABORATORY","Amylase",,2,">1.5 - 2.0 x ULN"
"METABOLIC/LABORATORY","Amylase",,3,">2.0 - 5.0 x ULN"
"METABOLIC/LABORATORY","Amylase",,4,">5.0 x ULN"
"METABOLIC/LABORATORY","Bicarbonate, serum-low",,1,"<LLN - 16 mmol/L"
"METABOLIC/LABORATORY","Bicarbonate, serum-low",,2,"<16 - 11 mmol/L"
"METABOLIC/LABORATORY","Bicarbonate, serum-low",,3,"<11 - 8 mmol/L"
"METABOLIC/LABORATORY","Bicarbonate, serum-low",,4,"<8 mmol/L"
"METABOLIC/LABORATORY","Bicarbonate, serum-low",,5,"Death"
"METABOLIC/LABORATORY","Bilirubin (hyperbilirubinemia)",,1,">ULN - 1.5 x ULN"
"METABOLIC/LABORATORY","Bilirubin (hyperbilirubinemia)",,2,">1.5 - 3.0 x ULN"
"METABOLIC/LABORATORY","Bilirubin (hyperbilirubinemia)",,3,">3.0 - 10.0 x ULN"
"METABOLIC/LABORATORY","Bilirubin (hyperbilirubinemia)",,4,">10.0 x ULN"
"METABOLIC/LABORATORY","CPK (creatine phosphokinase)",,1,">ULN - 2.5 x ULN"
"METABOLIC/LABORATORY","CPK (creatine phosphokinase)",,2,">2.5 x ULN - 5 x ULN"
"METABOLIC/LABORATORY","CPK (creatine phosphokinase)",,3,">5 x ULN - 10 x ULN"
"METABOLIC/LABORATORY","CPK (creatine phosphokinase)",,4,">10 x ULN"
"METABOLIC/LABORATORY","CPK (creatine phosphokinase)",,5,"Death"
"METABOLIC/LABORATORY","Calcium, serum-high (hypercalcemia)",,1,">ULN - 11.5 mg/dL
>ULN - 2.9 mmol/L

Ionized calcium 
>ULN - 1.5 mmol/L"
"METABOLIC/LABORATORY","Calcium, serum-high (hypercalcemia)",,2,">11.5 - 12.5 mg/dL
>2.9 - 3.1 mmol/L

Ionized calcium 
>1.5 - 1.6 mmol/L"
"METABOLIC/LABORATORY","Calcium, serum-high (hypercalcemia)",,3,">12.5 - 13.5 mg/dL
>3.1 - 3.4 mmol/L

Ionized calcium 
>1.6 - 1.8 mmol/L"
"METABOLIC/LABORATORY","Calcium, serum-high (hypercalcemia)",,4,">13.5 mg/dL
>3.4 mmol/L

Ionized calcium 
>1.8 mmol/L"
"METABOLIC/LABORATORY","Calcium, serum-high (hypercalcemia)",,5,"Death"
"METABOLIC/LABORATORY","Calcium, serum-low (hypocalcemia)",,1,"<LLN - 8.0 mg/dL
<LLN - 2.0 mmol/L

Ionized calcium 
<LLN - 1.0 mmol/L"
"METABOLIC/LABORATORY","Calcium, serum-low (hypocalcemia)",,2,"<8.0 - 7.0 mg/dL
<2.0 - 1.75 mmol/L

Ionized calcium 
<1.0 - 0.9 mmol/L"
"METABOLIC/LABORATORY","Calcium, serum-low (hypocalcemia)",,3,"<7.0 - 6.0 mg/dL
<1.75 - 1.5 mmol/L

Ionized calcium 
<0.9 - 0.8 mmol/L"
"METABOLIC/LABORATORY","Calcium, serum-low (hypocalcemia)",,4,"<6.0 mg/dL
<1.5 mmol/L

Ionized calcium 
<0.8 mmol/L"
"METABOLIC/LABORATORY","Calcium, serum-low (hypocalcemia)",,5,"Death"
"METABOLIC/LABORATORY","Cholesterol, serum-high (hypercholesteremia)",,1,">ULN - 300 mg/dL
>ULN - 7.75 mmol/L"
"METABOLIC/LABORATORY","Cholesterol, serum-high (hypercholesteremia)",,2,">300 - 400 mg/dL
>7.75 - 10.34 mmol/L"
"METABOLIC/LABORATORY","Cholesterol, serum-high (hypercholesteremia)",,3,">400 - 500 mg/dL
>10.34 - 12.92 mmol/L"
"METABOLIC/LABORATORY","Cholesterol, serum-high (hypercholesteremia)",,4,">500 mg/dL
>12.92 mmol/L"
"METABOLIC/LABORATORY","Cholesterol, serum-high (hypercholesteremia)",,5,"Death"
"METABOLIC/LABORATORY","Creatinine",,1,">ULN - 1.5 x ULN"
"METABOLIC/LABORATORY","Creatinine",,2,">1.5 - 3.0 x ULN"
"METABOLIC/LABORATORY","Creatinine",,3,">3.0 - 6.0 x ULN"
"METABOLIC/LABORATORY","Creatinine",,4,">6.0 x ULN"
"METABOLIC/LABORATORY","Creatinine",,5,"Death"
"METABOLIC/LABORATORY","GGT (gamma-Glutamyl transpeptidase)",,1,">ULN - 2.5 x ULN"
"METABOLIC/LABORATORY","GGT (gamma-Glutamyl transpeptidase)",,2,">2.5 - 5.0 x ULN"
"METABOLIC/LABORATORY","GGT (gamma-Glutamyl transpeptidase)",,3,">5.0 - 20.0 x ULN"
"METABOLIC/LABORATORY","GGT (gamma-Glutamyl transpeptidase)",,4,">20.0 x ULN"
"METABOLIC/LABORATORY","Glomerular filtration rate",,1,"<75 - 50% LLN"
"METABOLIC/LABORATORY","Glomerular filtration rate",,2,"<50 - 25% LLN"
"METABOLIC/LABORATORY","Glomerular filtration rate",,3,"<25% LLN, chronic dialysis not indicated"
